loinc_num,long_common_name,component,system,property,long_common_name_query_terms_count,long_common_name_similarity,component_query_terms_count,component_similarity,system_query_terms_count,system_similarity,property_query_terms_count,property_similarity,ranking_score_baseline,clicked
1975-2,Bilirubin.total [Mass/volume] in Serum or Plasma,Bilirubin,Ser/Plas,MCnc,3,0.6102716938472819,2,0.4568882711529906,1,0.1801410360588515,0,0.0,0.492444934407436,True
2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,Cholesterol.in HDL,Ser/Plas,MCnc,2,0.2086668654415119,1,0.3345203436103139,1,0.1801410360588515,0,0.0,0.4445610863496164,False
1968-7,Bilirubin.direct [Mass/volume] in Serum or Plasma,Bilirubin.glucuronidated+Bilirubin.albumin bound,Ser/Plas,MCnc,3,0.5456827090360458,2,0.3066452963831141,1,0.1801410360588515,0,0.0,0.4143554468348009,True
1971-1,Bilirubin.indirect [Mass/volume] in Serum or Plasma,Bilirubin.non-glucuronidated,Ser/Plas,MCnc,3,0.5813194208046836,2,0.2227738719520625,1,0.1801410360588515,0,0.0,0.3178420850610184,False
35192-4,Bilirubin.indirect [Mass or Moles/volume] in Serum or Plasma,Bilirubin.non-glucuronidated,Ser/Plas,MSCnc,3,0.495870736956947,2,0.2227738719520625,1,0.1801410360588515,0,0.0,0.2704187518551031,False
14423-8,Bilirubin.total [Mass/volume] in Synovial fluid,Bilirubin,Synv fld,MCnc,2,0.3687463929022803,2,0.4568882711529906,0,0.0,0,0.0,0.246080600997001,False
33870-7,Bilirubin.total [Presence] in Unspecified specimen,Bilirubin,XXX,PrThr,2,0.3624217800555165,2,0.4568882711529906,0,0.0,0,0.0,0.2022286085932239,False
4671-4,Protein C [Mass/volume] in Plasma,Protein C,Plas,MCnc,2,0.2341957299454146,1,0.0,1,0.2569942436543546,0,0.0,0.107366074912636,False
17861-6,Calcium [Mass/volume] in Serum or Plasma,Calcium,Ser/Plas,MCnc,2,0.2200812556244201,0,0.0,1,0.1801410360588515,0,0.0,0.1072282116767059,False
14749-6,Glucose [Moles/volume] in Serum or Plasma,Glucose,Ser/Plas,SCnc,2,0.2200403413895714,0,0.0,1,0.1801410360588515,0,0.0,0.1067379114700355,False
1751-7,Albumin [Mass/volume] in Serum or Plasma,Albumin,Ser/Plas,MCnc,2,0.2100427643275012,1,0.0,1,0.1801410360588515,0,0.0,0.1045344192174343,False
74774-1,"Glucose [Mass/volume] in Serum, Plasma or Blood",Glucose,Ser/Plas/Bld,MCnc,2,0.2061947590624114,0,0.0,1,0.1232990178895045,0,0.0,0.0986898415938685,False
2093-3,Cholesterol [Mass/volume] in Serum or Plasma,Cholesterol,Ser/Plas,MCnc,2,0.2031259742250407,0,0.0,1,0.1801410360588515,0,0.0,0.0973672053785327,False
2075-0,Chloride [Moles/volume] in Serum or Plasma,Chloride,Ser/Plas,SCnc,2,0.2001868212372592,0,0.0,1,0.1801410360588515,0,0.0,0.0953731974660354,False
2143-6,Cortisol [Mass/volume] in Serum or Plasma,Cortisol,Ser/Plas,MCnc,2,0.1937413670817769,0,0.0,1,0.1801410360588515,0,0.0,0.092105257720629,False
19080-1,Choriogonadotropin [Units/volume] in Serum or Plasma,Choriogonadotropin,Ser/Plas,ACnc,2,0.169255503983715,1,0.0,1,0.1801410360588515,0,0.0,0.086103650681357,False
